name,price
LEGO® Classic - Caixa Média de Peças Criativas,"229,99"
LEGO® Super Mario™ Packs de Personagens – Série 5; Kit de Construção 71410,"37,99"
60344 LEGO® City Galinheiro; Kit de Construção (101 peças),"64,90"
LEGO Classic Peças Criativas LEGO 10692,"119,90"
60312 LEGO® City Carro da Polícia; Kit de Construção (94 peças),"80,99"
Classic Caixa Grande De Peças Criativas Lego Brick Box Sem Cor Especificada Grande,"373,41"
LEGO Classic ─ 10713 Maleta da Criatividade ─ Kit de construção (213 peças),"149,90"
31111 LEGO® Creator 3em1 Ciberdrone; Kit de Construção (113 peças),"92,40"
LEGO® Speed Champions Fast & Furious 1970 Dodge Charger R/T 76912 Kit de construção de carro de brincar; modelo colecionável para crianças a partir dos 8 anos (345 peças),"144,99"
LEGO® Friends Estábulo de Banho do Pônei 41696 Kit de construção (60 peças),"74,90"
LEGO® Minecraft™ O Estábulo de Cavalos 21171 Kit de Construção (241 peças),"139,90"
LEGO® Minecraft™ O Portal em Ruínas 21172 Kit de Construção (316 peças),"204,90"
11013 LEGO® Classic Blocos Transparentes Criativos; Kit de Construção para Crianças (500 peças),"204,90"
LEGO® Orquídea 10311 Kit de Construção de Decoração de Plantas para Adultos; Construir uma Peça de Exposição de Orquídeas para Casa ou Escritório (608 peças),"430,00"
11015 LEGO® Classic Ao Redor do Mundo; Kit de Construção; 15 Brinquedos para Crianças (950 peças),"319,99"
LEGO® Architecture - Londres,"285,90"
11019 LEGO® Classic Peças e Funções; Kit de Construção de Crianças (500 peças),"189,99"
LEGO® Friends Boutique de Moda Móvel - Kit de construção (94 peças),"97,90"
Conjunto de construção LEGO® Creator 3 em 1 Carro esportivo 31100 (134 Peças),"106,99"
76911 LEGO® Speed Champions 007 Aston Martin DB5; Kit de Construção (298 peças),"191,78"
LEGO® Marvel Homem- Aranha e seus Incríveis Amigos Miles Morales: Triciclo Eletrônico do Homem-Aranha,"99,04"
LEGO® Marvel Armadura Robô do Homem de Ferro 76203 - Kit Incrível (130 peças),"79,99"
LEGO® Speed Champions Mercedes-AMG F1 W12 E Performance e Mercedes-AMG Project One,"289,99"
LEGO® Marvel Armadura Robô do Wolverine 76202 - Kit Incrível (141 peças),"85,90"
LEGO® Marvel Armadura Robô do Pantera Negra - 76204 Kit Incrível (124 peças),"89,99"
11017 LEGO® Classic Monstros Criativos; Kit de Construção com 5 Brinquedos para Crianças (140 peças),"74,90"
LEGO® Technic Carregadeira Telescópica 42133 Kit Incrível do Modelo (143 Peças),"99,90"
LEGO® Technic Monster Jam™ Megalodon® 42134 Kit Incrível do Modelo (260 Peças),"154,51"
LEGO® Technic Motocicleta 42132 Kit Incrível do Modelo (160 Peças),"125,99"
31128 LEGO® Creator 3em1 Golfinho e Tartaruga; Kit de Construção (137 peças),"84,99"
LEGO® Technic Monster Jam™ El Toro Loco™ 42135 Kit Incrível do Modelo (247 Peças),"168,91"
21331 LEGO® Ideas Sonic the Hedgehog™ – Green Hill Zone; Kit de Construção (1125 peças),"590,99"
LEGO® Horizon Forbidden West: Pescoçudo 76989 Kit de Construção; Presente Colecionável para Adultos Fãs de Videojogos (1222 peças),"753,37"
10280 LEGO® Buquê de Flores; Kit de Construção (756 peças),"502,08"
LEGO® Marvel Confronto com Gargantos 76205 Kit Incrível (264 Peças),"149,99"
LEGO® Minecraft® A Casa Cogumelo 21179 Kit Incrível (272 Peças),"175,33"
11018 LEGO® Classic Diversão Criativa no Oceano; Kit de Construção (333 peças),"139,90"
Kit de construção LEGO® Minecraft™ Fazenda de abelhas 21165 (238 peças),"159,63"
LEGO® Classic Peças azuis criativas 11006 Conjunto inicial para crianças (52 peças),"45,05"
LEGO® Minecraft® Pousada da Raposa 21178 Kit Incrível (193 Peças),"167,78"
Lego Creator Criaturas do Fundo do Mar 31088,"119,90"
76940 LEGO® Jurassic World Exposição de Fóssil do Dinossauro T.rex; Kit de Construção (198 peças),"232,99"
"42123 LEGO® Technic McLaren Senna GTR™, Kit de Construção de Modelo (830 peças)","429,99"
"42119 LEGO® Technic Monster Jam™ Max-D™, Kit de Construção (230 peças)","219,99"
LEGO® Minecraft® A Batalha do Guardião 21180 Kit Incrível (255 Peças),"182,16"
LEGO® DUPLO® Resgate Visita ao Médico 10968 Brinquedo para Construir (34 Peças),"174,90"
10772 LEGO® ǀ Disney Mickey and Friends Avião a Hélice do Mickey Mouse; Kit de Construção,"101,98"
"Coleção LEGO® Architecture: 21054 A Casa Branca, Kit de Construção (1.843 peças)","893,88"
